tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid,region
CHALLENGER,I,njDFPShpudyswBOrruEkATZ3p0UpVvTurKwvqQH87MzzMA,tadeceboo,605,73,52,False,False,True,False,Mbnv4haWcmRducirKzaTg5EETxKry2IzecihbVW52j3C_90uyS4fcZwK4TR5k9GVaVSsinRM6oXiGw,br1
CHALLENGER,I,UPnOhmZQTA13cZM-A_lBuTuyO_reO-3c3XeC5mWisFwU-sE,Yukarina,500,46,27,False,False,True,False,fQSLr8UNbfLYmcEV5jKDGprch8mC5JWRQrRXeI2moGXKtnPMDcLB2lxL9dpQEcz0jUGiqYYOnmtEjw,br1
CHALLENGER,I,dgcRln4U8M9BGbp8mXMWt-VGS1hTX45WwMdP0_DOSdP0zg,zzkeio,520,75,46,False,False,True,False,1S1dslQo853dg3IkXoMX3622974J3cuBK2VlEeO1F7L8l3e2YgqSOYVY6sMgbUI3VUbJw_ZH_nnXeg,br1
CHALLENGER,I,85u4iqcCB6N-XpldLqKp2BYdauUvrdsPeFkKOzdgk70h7bo,wellyck,512,44,13,False,False,True,False,0MLlipEz7Eo4Ep6r0sZiOOza21w6Cmwj1wQI8Krife_iDyX0fxISFyr0uwAk9BZzLnK-FYv--QoZhw,br1
CHALLENGER,I,RzJae4FA1fvFxjTLnkjdgymvEFpPmN1f3ZuBpIJza942ONQ,Remorsos,563,87,70,False,False,True,True,EORp_LQcZ4egTYmdHcEZD47zbOjLj-Uw5wdOkspLZNNzx5hNcMWgdsSsAbYIHHxxamUoicxXK2Hd0g,br1
CHALLENGER,I,0MdLEZOf9ArNTaJRjowbEyZd6f68PkPmJnwdmTiMG2dFBw,Im Lukan,514,54,29,False,False,True,True,9TVWm1ELXdPOEsuIT3Se3jHZo1KWHBd5jAiuxKJp57ZQ95DjdfmW3b1ISmpeArmYV1dsdTDEdIqDyw,br1
CHALLENGER,I,BkAr-M33iTb6IfE5__HcaZxVwr9HnhAi-ps-CkJ2tzn7,sèrjão,502,59,34,False,False,True,True,70eWMuda_YTKp4uyZJfZkkjSX9NAMEIWP-SaBhKaPLp4NO7qhk7JfEg4nw2y57d2FV_EKs_JT5sy9A,br1
CHALLENGER,I,oAKk4Z2E5mID-BPBpKTzDBl3X8iyBMp4-DPKv0zxMPCkUr0,KFG Tony,518,55,25,False,False,True,True,XJYL85c_z-h_JX_bV5rI1yefUdoc2N68R_J8w8o270cPoijz3vMGC4KiRGB9HyUm8Tr4HhyadQcOEQ,br1
CHALLENGER,I,hZjjw0gtfSeN3-8N7NGl55EL2RwN9yiJI8AB9KZK3EWP3_4,Reformed Xayah,530,53,31,False,False,True,False,xMvm4pw91uRCLlk4xMJ3ML9fD20ntfTV3dr6WyND4FoLxTOvKOyZWNdZ116gyRKFMine8vW5fcXeNA,br1
CHALLENGER,I,fvnrCUeqiut0rowg9mT73nOE7akP1Ywz8rA3x3KF7U1qnJc,Nunu,564,63,50,False,False,True,False,9Gq2v8E7fMRA_t-_2CFmijXMlPb2Z4-WkG_3kkzokhciimn-hleMoIPebzF6dGH9c5bQx-83umpCCA,br1
GRANDMASTER,I,-8PN37C6fq9PcGdacs2o40e6BYZpWFUCfF9eohfN0Kq6tg,tinowns01,234,29,12,False,False,True,False,K1YBnAmIm1-DCTdY7jnK5ERwbhEJLJONo8Pg-MWmZQcv0aHxQ5Kq1O_s7ZGIJouW72P4smFfK_AEBQ,br1
GRANDMASTER,I,IEDqM1kjqDozXfZE-F1OxON4DkIpOYar_Is1RBOTVOZu,azek,202,39,30,False,False,True,False,JoKcKfrqDpaxM_RIGbRp3JwScEcEGyaX3VFx9MaRzCzE0b39RHooirTxZXntcxI2mBSE7PgAWOeFGQ,br1
GRANDMASTER,I,Zn-sSTJ5Xvia8CwTNynzBB_3XzCzCJ0PIc-y4_BJz_T0Jw,moko,305,76,65,False,False,True,False,QzloID3JcE6b_lW6HCKNwHOztd7gg0KBJEuq6AgaIlbj3nUKPxoqoSE_eBEwoKMhNVsZCH6Yk2TRCA,br1
GRANDMASTER,I,nOiWgX69CYHeTigp07_4WwYOaZiNdpxUslORASYmMYEcDA,God Gift 568 z,286,64,48,False,False,True,False,iUxjcEjo6X4Q2xoF256KiLKxa3_Kn9FmQ-C9z6MNdFJ_qXCJqh04goUX_GF8d_OuP5NuGdDir76QwA,br1
GRANDMASTER,I,5djWJ9zoTTFoAMr4Cwh4l_0EdAW9mlnYC3uAHixolsOeNr8,before gets cold,241,27,8,False,False,True,True,xG5RMw6SGUts9t99VpweURxWHrEfhciZ9bdTJtHTZAk_K5MIBFuV1erstkakD3q6e0jPy2ozHlbQng,br1
GRANDMASTER,I,RnfOPjEPQCdUyxeDHFv9L5AoUduzVxiIn7fml_z3XXFQOY4z2Eu7kbyD0w,,330,39,14,False,False,True,False,65JV_UQ5iROGkAM4wbNejmucOd7lItWZ1OnlysfXFcXzTUjGeZtUP-9Ov5U8dIljHJ7nTfiYt1wpDg,br1
GRANDMASTER,I,8eGg9X5faBk6PqMNYY944Yl7RNHTBebXsctHsMBkC77juY8,gyashi,311,44,33,False,False,True,False,KiioakDAUJGBLOD5ejYtqgJSdSG93fnXbi-77wSQB_IKdbBjVomQTWEuPgHA4urpp4u0_scIj82B4g,br1
GRANDMASTER,I,-rgU1Riqb_M3avb1NRvCZCBWMb1JRDoVh3kOzOQdWtqCfA,QUINDINHO,441,49,38,False,False,True,False,ymmpX9QpUbBsqJRmVMTPkVGCJcViSQp2njP-oBSF8tsfEx5cV0jQ5-HFYGXN8YiGqXbjGQ2D9o77bQ,br1
GRANDMASTER,I,KG4htdSTTCfg52zVQoxT1OcjptVlRFxmg-Z8bs20WqKI4g,Fátima Bernadess,272,40,20,False,False,True,False,cO8oMIwzaVkjLVkrObrcNst_oS3eqzEGmCkAj4nBTX2RI_yajD_29kfClBSNXAIwSx83zJb4rJnO1g,br1
