tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid,region
CHALLENGER,I,-xFIx0yjIGCCNbQWLq6aT6sUmZPFkq0RuY9IbSBrrv83FPc,judgement night,514,50,24,False,False,True,False,XOOHoofeoTDb-XNJgZrY9b8abqYNrVyHXnBw5xLGY58LVZCu6K59SrsEQK7rSjEf2KMPTZG2ZkX3dw,eun1
CHALLENGER,I,iL1M5OlVt41x9s6XZI7-9RQFVcPkU__DYpCPOuerhHkqfRQ,,499,57,37,False,False,True,False,8FWm1k-SstPIPLnFaWQTJppSgSBYmhbq6QH7dvD6YDIZDn0Lj-m7TAKYcQYpk6EW3MmW7SyiotQT-w,eun1
CHALLENGER,I,dYWvSxrnqAMWHE7TvF2n88KSxuNLkWz9T5RYjp3DgXczzxo,XiaoTaoQi,677,79,59,False,False,True,True,-qPdZE1i51vDr6UktVfRBWk9S39Ux_ABe5cxqyaQUqTLG08cRiiOSqKw1eYU_Ncams4RXvdwJ22Tlw,eun1
CHALLENGER,I,tgwpNSdFf7QNuKxbDvr-aR5QherpDV0cgVfirvmnZr9a17uF-ZB1DK_AWg,annoying,512,88,63,False,False,True,True,EQsW3PGBo-HFu9dBxyDxAKiEdLYSgmHIkL0Fbn84vxN3zvcAwpy-hwfvMaRXx8aF2XuI0vQP1n_N_g,eun1
CHALLENGER,I,wz7xTRKhfkouYuAvzMw2CmwGTBo6F--UzSirBWbKVARmOcw,Vayne Helsing,574,52,19,False,False,True,False,jAv44JH9oOywk0QkItgW_5yu_VjLiLflZKvlZBxKVD0qjkmo0aj1HtaBLtSxZfW8ScTg-haSPWi09g,eun1
CHALLENGER,I,bg_Yu6o4EvR7E0eZNbNKc9mScT9wcIkSkFvsv1so9ynD-Tk,Paresz14,500,69,46,False,False,True,False,41TegO6xjHOjEUC5WFzQmTqJ6_N3qlrGzn6XtEEEu-z_N9SR9uDrdCst3xtGgJ2ggzMBT3FpDmjRJw,eun1
CHALLENGER,I,XEpbfWA8MSryC0trtc0hozy2wuaPYnpbM_KGSpgeQCJ-mog,przegrasz21,516,61,27,False,False,True,False,xXIGUMMyFoMvy8ToMkA8mfhYFzXSc_-h3hoXKuUQdwO_QisbH3g-mIYUU7Sa6Wm--K-Gr--90eo2fg,eun1
CHALLENGER,I,BhBhNgRqETgsA-0o3knCSLqKQBD1Sc8dL0Cgq6oQu6KLres,Mìs,482,51,34,False,False,True,False,-r6feLYPA3bx0W5ZCashLF63EvpasxslS0rAyaH-C2bb4CuZS3BN21P8lSMTRtjK2V8iufqNuQ65DA,eun1
CHALLENGER,I,OO-8plo6T9NAyISKeWIaMglitowYcQJvhzJtB6a5tYR1_JU,raducu1,514,58,39,False,False,True,False,_mbB5NLQeiWTzqUhcHiknzvS3rNMZfV1UEmzPJV6jGezeHRpsTnR1l8y3xZpx5oyFDmCSIP7SDfWfw,eun1
CHALLENGER,I,13ZE4rvts1ouPCiqHIj1do12BFcr1GQcAPVVX7cmpoXpmAvJaGVuH3SQXQ,Δ Desperate,754,61,37,False,False,True,False,mM2Y6BWTOsAHEY1MvwNXso-2_4rxL9OrdPT6bGW9CQmttOcqdvXP4dIlDx_csZWgvZc5lctuUgk7AA,eun1
CHALLENGER,I,NsIceywoQCXcHJg1IfhSLYCauyqfnS3vMUR6pV_Mn0tyIPuFYqepwpksFw,PerfexMKD,742,68,43,False,False,True,True,d07-opGJpRRuOP3BMTqqCs3VyTz6h63pEtPMAYlYAoX8xlNcllHRYMTXz7cFEqb1hodLxbiNqul2BQ,eun1
CHALLENGER,I,DZLCO10wBmwDUKawhaFmrXjMjwY-P3RQCAViYh8wOi6cvCg,I am Sobek,604,76,59,False,False,True,False,yY-PrjTmvmMSmGKOLemKiYIRykrFp22Qodim80MLPI_XJmUUkwukSqjgKC6XzGmoTn_ILM4ETF5Bxw,eun1
CHALLENGER,I,0b5zBwe79HHB1UgfpzSw-IMDU3lcPPc5RfCdKpzi0KurV54,LunaTown,676,59,34,False,False,True,False,_PCA9oXE1ZOURxRI3MdgaFmvtl14jV-ulfKhwjcKQ7IgHdB9ebrewWHtoh6tsv7r6gKXh1maayDe9w,eun1
GRANDMASTER,I,CNCAtJ7HgAC2chkRnlEBolowXXGGy-ATby9maL_-UlY19FHG_RtgLNrJvA,Aegisus,351,62,50,False,False,True,True,snEYBXo_uRNwFg7HoXC18qraPvlrQAcCa-nBSjKdUcUeMWAATPNKBQEI0Ow0xzZdbUYyr1Az4l-WnA,eun1
GRANDMASTER,I,GWNFhvuO7ww4cbyI03EzaNawpj3_nisPqTxJd6xObbBaw7k,Andrey1522,217,36,21,False,False,True,False,ONEo3CnrLJ70V5yr3PhKd_HtJX48RwDe8GgoVlzcs2c5zDAZocydxDeCiB7ae_KIstMSsFEuBFXb3Q,eun1
GRANDMASTER,I,hDWmJ8iqIaYG5SH1mUfyBbFWkLv7AnzkQ9KHSoOlXBIOTiCB1Dj3760xPg,WojciechL9,206,46,26,False,False,True,False,S0zPwxqDzGSWcPswIGo-9rrUFQ7dFmjSEmnnZlCQ_u2ONnrXyEoE20uzC9SUm5LDZ-5RteuskZa5xw,eun1
GRANDMASTER,I,707pFEM4YFV4n3NpzlC1nMU6fCDB1U4Z51-RUymcXwtodfCfOIz2TwMAhg,last acc fr,414,70,52,False,False,True,False,wAKttxljLorCNR9ueQ2DUSly57FZ6vWIg-C5jgcdY1DhYXqCm0rEi-n18naMNArFB0Qgqp5S09gJfw,eun1
GRANDMASTER,I,j3RrZSlpi8zo9lF05wlvVLnQsCujBq18k3PuTpl_Mt99rTPUusHxPSL8lA,The Tree Chopper,205,39,22,False,False,True,False,xFJtCS_rMKbb6QiD_Y_p6cyOO6bOYblh28cVwMOqknh4_QaGotsuh0JrPA92ktjSLpviqvA_fCSHxA,eun1
GRANDMASTER,I,k3zl2Wb6erUkeCL8AgkN9J_iFGpolxhuOmZnVOOKu-dEeJlNJvUDz_QNgA,zhuan yun ka,216,55,44,False,False,True,False,cUMcC373XBY8LMDdKl6R2vudVLxFomQ4T6qJXE3P6bmBTIX5bA-7qHCyGGJs52HtqjolbX9I-ZLiNQ,eun1
GRANDMASTER,I,rJ7HqL9JfSyRPbJkpjg55gRkNLL58BDYZ8uxOxVAXbHDjnQ,Panic Fear,331,45,29,False,False,True,False,mdSz7xdBYLX2XyCiFl9fILi4-9suxnosGczgl-od98MtMNdGwNG-KYX1Rcf0na3znOXgoe3rTNKr7A,eun1
GRANDMASTER,I,3uOI-wAPR1ijyq0wGlUaDdA7IdTBd9xRu9sdJkZ1eQUF2hU,C3 Mîtsükï,283,53,38,False,False,True,False,ZEQaj5q65zWKoHD67AP1HJxVrOSo1k0BD7NFIbQ8l4zF5ujfZE0MjDwADwkiqWdX4ZboKkiyouspJA,eun1
GRANDMASTER,I,l9lZvKKhvokSbnijR5OtFIu_Sxvhi6TnAOM92AtuZq0S46U,AKSU X XN88AX,231,40,26,False,False,True,False,2pKfvdLlMqm1BU7iM2wfMv6eOK_Q-_aLTa6ePzqQsJRXcRlrBARyguqPRYcVTM0_s7cWckPvHJWwzg,eun1
GRANDMASTER,I,940HIwcoMlJSheymcNGsFJzkRO99e0V77SRFGwSWKtS_-NY,BaL3Sz,230,48,27,False,False,True,False,jJHHT-TvJGI7JCz7G4E5MYjivayf0DkEDW8tnKkYgeKWIEoH69KPDfIZKov9NmgPbKxa1gAO3048_A,eun1
