tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid,region
CHALLENGER,I,m5VUMltB9BfHbOCvgLT_9xRmBbaY9KXC0watpHl-8UmP09s,Lathyrus,675,72,50,False,False,True,True,DAJvvti1TmtNom__sNwvxHo6o3fzgxAebiSCb0LDUyNh4DzvRNQgjkIzwDkUIA_cwawGSqBu7dIUpg,euw1
CHALLENGER,I,btPRI8ML_mAzDd3cKg1W-gY1Jjp7KDY-p4U3yNGRIgo-WPk_,cadianNN,509,47,23,False,False,True,True,zIY37Lr6JO1zg_zz0fJAIiQZ3RSWr2_TY_R8bW6iqnPSba8kdx1IgYjqfT4Zl5L6B3Lfd_-R62H9lQ,euw1
CHALLENGER,I,FrfnE2j5yaUuB32UgOXtwiQ_s-maqamD-zgM66rwZixk20k,Sinerias,523,75,47,False,False,True,True,joe6tM5c1PAdWiwPS5GKl-XJAZTM1eO2ZFb_4rJwxaigxhsVe1ukII0jQ4_ZvF312u3CV80aEuvm3w,euw1
CHALLENGER,I,XJaRpDhMdwIJeJ9MIH4LGn_LtGsbvpVJjq5g-0BBJ-97Zei_,q t u hgd v,608,56,30,False,False,True,False,OIBmFjq6bbdkIGwiedDyLjiwY4FaoUJJWI8bUaryTZ3XkbR3tzRkXYkXqiWeaL3eQz7LYX2g2w68tg,euw1
CHALLENGER,I,UCQ2nW28gqKilTHytx7_t21WuzwvT0zrXpEFe92LKtyRn6HB,Qnoxs,698,76,56,False,False,True,False,C4fDSPqmg60I4x-JXT-88Sm1da7j1hWC0sWHjkZSZ0etWtE-nEZyVer2QowBrxm_rx_umRdx0Rg89g,euw1
CHALLENGER,I,N02tNxo2HKut_DZvA_qiuu_-OmT2qccbqpl9AJchhFxPeZhG,Annie IRL,606,79,63,False,False,True,False,ksHUcNUw22SI_d26BrBEbYgS894wBumsfBHBdhqf_m5FSFkEoCBEVK3WOd1aQpFaDTbCFmTL1YLDrQ,euw1
CHALLENGER,I,sB_Sd7Xomme6krivuRu-Q179CS_k4q949I1Dll4VPfRHKgg,VΣTHΣΘ,803,72,35,False,False,True,False,hP2tnaS31CkUwDDwKbJL3Mnw4KoSbCij8GfJouondDO134LhfIhZAhDGtB1s-NaN9CufPHmvz7-NvA,euw1
GRANDMASTER,I,3x0pN5knoIuh3KAniytlY8yAnRae67zViG9tz7ApfTHcqHs,VinZei,210,44,24,False,False,True,True,3hXxPaQXbSb7jVZI7tqiiiEW-tMVcBrKr7v8eBzpxEZ8Hzwqiyb5qKDzRwDtOTjVbPLHysYU0L6ihg,euw1
GRANDMASTER,I,RKfbM3VLXRQuj92rNZhRtX-1wdFqC_d28sExzeOvTcIgl4xQCTwUkopeKw,BasketSeille8,334,46,30,False,False,True,False,TaBqvB1XeAxLxNsd8Duxx1xBEMx0ghHzujl5C20fsKATMKReq0KLhmiMkitfYpWJKN3lQ_2NwdNHPQ,euw1
GRANDMASTER,I,3NhmeoOoza4r4RXP2MkomTbLg0s85M3CVtJEfIvR4YGEGxQ,I WANT BE COACH,244,39,17,False,False,True,False,2QOmOo2P9dR_HfVx46oaqXFl1wxRfB0va4gnjHGSl9CGRgLBCQHQZYoTbgwv1itMX7ms343qpJouYQ,euw1
GRANDMASTER,I,JizeMjNvyLdnORilER-wxq-jB2X9iR_2qlwYRh3jX-ITD9rkParmedj2OA,XyIIow,305,69,51,False,False,True,False,xTF2Pi_9g-BAmL5zW8N6qgugZrGCaCfjubtWDDP-K6yU6tKeUnlMXkx0qH-ZjnIfcQ5c8wAACpvnkA,euw1
GRANDMASTER,I,t9fu5uJ3v09eAN1WlLXQXDJ2sAGKgjUGLlxZx-n6K7DgUkS3,wo hen ta,220,54,43,False,False,True,False,44Df_ONEIqCUJjdAOp81QYduIqGWRvOgkMzGmd4ZoKsfV5SCeyshLGXLQIjElT1ckmtzLyMRuUbMfQ,euw1
GRANDMASTER,I,ibeilKN8uDzs6XT6JaZzeossL9HWHR9Dkeq5t6pDi6O_bINZ,vXin PaoPaoPW,469,51,14,False,False,True,False,zNUT6SgPZbnHwKyX-mGslODWXYySHtSq6R3keXUrgRQIvavLF2XJ6_tjPz67tYvlBcuHcF_07YXoXg,euw1
GRANDMASTER,I,1socpWwCXM7rEgWWnS4Hu-byHPa8yoSOy1DLX_Md_OlJsn4,SlNGED,206,56,44,False,False,True,False,A_cWrxB1EeLLhGq_cLJ0acOzmbToctP56KW-lYZ_LsbG0h3vWn4TZadWKs6afP-pDtt6mB3gK_pDtQ,euw1
GRANDMASTER,I,64ZXAEbyk8eblxEI1jK9VwIzOeWmZ4EVESK8Tx0SIc7h_DM,Shizyphus,416,67,46,False,False,True,False,6QczFw9IhZQm1ETQxg7jZWLMtzgpm5tCQLb8pd2_axWmI68Jo531gbURQ9WIhVMh_vlpvaAu6a3xag,euw1
GRANDMASTER,I,YbYnh3CPXflqBHPlEs1YA61RbJQpi6wkiVW5q8RQKz-iVqZ5lj5J19fXgw,ELLHNIKO ADC,338,55,30,False,False,True,False,pRPdHziuC5v9ksNt1QUnCX2Q0zZBrsWzNWn_nqt3xNBUxn_czpdCwivUsnz84jnIx2gAH57l577j7g,euw1
GRANDMASTER,I,VohdZArzzKfdm2l-6RE-IYDfFX9FeUap-NFreho2mRn0hKXSiFPHSphl3Q,Magic,403,69,43,False,False,True,False,mbjJpeH69-RsoJkJrx5pDDzTkHQa-2I_n5-PKlxfkVFnPECz6LgCrEDsjR3_vzHAu-vL2L6mf4aOTg,euw1
GRANDMASTER,I,bEAYxNGl_iz3hofkTbWbuTIhcndGydagghGQGEXsc0dEOcE,avarice61,261,36,19,False,False,True,True,SsFwd9MGsEM-3tVEErmYrpv5pVjjOx4VPKL6KbYCqoju7R6zUkyzecAof78guCLguOtpVe9fJeTBYA,euw1
GRANDMASTER,I,cNcWMS6bV0HqXIn0s38j-nDLFGdgsuHIQfJMNPJXJyII8fSlxprbJGvIWw,TWITTER OPAT04XD,281,42,31,False,False,True,False,wHOPflNraptrb8FAx6AR97L8nira0Xxejk3yKZlo8idJUHQdg_nvRQLOO1RGTfU7Fj-ZguLMbMoljw,euw1
GRANDMASTER,I,AyGA9uP5vSKyaEIsGumOhMtGOqT--mna_lNm373D5bwPFeNI,kasadei,204,42,20,False,False,True,True,xH0ZQS0S8wAQo5YWtmBlTpQ3EOh6n1IOywMjzH3ACz9atqAi8wFtXyClONMW09b2-7IFSAU4jOiieg,euw1
GRANDMASTER,I,jDALY5jmn8E5AebZkjRiUZENF_aow0XVUFHbJ4CuxLaVCtJ1,TeaBagurin,215,64,43,False,False,True,False,vSZnhn9TTi0mvlrbTfnqV6aw8xSgi5KR2shz3fJ2jbE8D2S2W4vHSYy6Rfr-7uYSuSrIuHN92ga_Ig,euw1
GRANDMASTER,I,VNocMe3GTBXzYC5bUWNDB3xPKQey8sDhrxY_m2HrYb-zKeHX,befreesh,197,39,18,False,False,True,False,o1kd7hEyWUyqukpTUuFQZl3llCDb0WH9AzMBbMBMCMDyzQUxlaTKxWRylrytlXS-pZJSoSqDZZ1LlQ,euw1
GRANDMASTER,I,P5gye9v6Gm8fKiT719tQQqZ0hDRsyIqgfIELnBDxf-xh3O8,agrsv,267,52,26,False,False,True,False,v_moALR3JZ5OoTAJspTqrKpg-SYEkGlr_e1LNrhcRTItf6eX_NV3GvoOvcwr48I57PRmLLtnTCF9Lg,euw1
