tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid,region
CHALLENGER,I,-yUFO9wq8QpAuVY1aKHOu9M9SkkartNPRlsv1fZN-qGFl3eclsnu_JqTBQ,,635,45,18,False,False,True,True,e5B6EozGrdYIKE4djL4mZ_OX2f5VWlLiWM3w0xYEXci6msfYeAMaXcLk80Qep_YJAUFvg9tfDI5gRw,jp1
CHALLENGER,I,BTP4cJYaybgnrpDpAJirpZSQZ-0BsOetK9Es3OdwN-L3tQ,Enty,686,73,62,False,False,True,True,qRc7RuedhBuzbdJmdigP7IMBGUWqUTufziB9b7XgmBId7mZvPVzkGkeXOjUX8bT8uX_CgpykzUPpEw,jp1
GRANDMASTER,I,VhmcXdPgtqEl4i3HWirsvLrafp4gTe1ZbRzsFjff3z92tQ,WitchCraftSabbat,270,36,18,False,False,True,False,gpQbmLY2LN84gDk9qoeELLAAzEzPGPSBag1dg2NfS1xli06_rY7k5mGm9ImWQLvqaPxoObRWb0zEBQ,jp1
GRANDMASTER,I,ppHhpuSR9CmwfMhWeR9eJlgwqoDDw7AraLwl4wCZtkA-7azBcBZc6bcV5w,tiaolouzisha,320,55,40,False,False,True,True,_JMUNdPd_1uGVS5bo8nHJHp-6Z6lD9doBQqJoHGpFCM0RlQG6FXJEiOnuG5J53abgIgsVggTp4X_yA,jp1
GRANDMASTER,I,dtvPKdxV3cDcBI40hYIEE-XeNT71ltB1izsovjSaD200TF1NcnwMDNG4IA,凖透明少年,201,72,68,False,False,True,False,BEC7HFvfm6TCPTbpmYiygBEYySES80sDMGJpNq-gIyqrQA8uU3IHV0AlstpAJgA8NbuD0mXGY1JMPQ,jp1
GRANDMASTER,I,FsaKIaDe4_IAQnHE29TQaUKpzNTVVpWUq-TPP6mJaj3o_tRQBEmUWf5pQw,はちちゃん,202,60,54,False,False,True,False,HWMxvLidhZm5d1dC45BrxXpwPBfUEwbgVEa39Xp2muc5MsCC1RwzYBMZQu6onklEF8RQCIyYrVH4Iw,jp1
GRANDMASTER,I,ycv3LhZVacB3sOYG4xU3al9e0NLO6UzSLyiHykLjourveA,黄色のヨッシー,223,52,39,False,False,True,False,txRI7UCypxfACGTNSrux-DVeaLNlcSrkA4PrpdechKlxcgug3nITjbHoPOFLjH8yaw4VgGbQ3erw6g,jp1
GRANDMASTER,I,97-wCMZGLj-W1CyGKAejg7pSybYl8bc5a39ujJE0ad05vg,winnie1119,235,38,28,False,False,True,False,QGQehgqlmAXDr9Q97cSaB7uoZ7BmvoSAC0D9MozoL6Yf1MInpbk5lqsm5uhOmcu8448igt1Iqq1Rgg,jp1
GRANDMASTER,I,tDwaW7BBGsHHGIWr6EjcMbQJvnBnXN8QRTDbZ4KxbQnAwi0,senzawa,274,34,22,False,False,True,False,Pld9oHLNbCXbVieUThIRLMWemRW9Dean1qoJUmqxjdcI4tnsxl8jqFSPks-qz8qPqco2ubrlQcZUZQ,jp1
GRANDMASTER,I,-rYnaa4Z1l-j22ZSU8JCvFnSM7JUwGR_CdzvujDTSJnCMg,かみなりドッカン,327,58,36,False,False,True,False,IFjM8sBqRuqMI0W_AIzC7vM4ycadnFFkChr2UCYFSUKFP7kxKGW-WRYBFxVrbRNzn9yFEp3YV7H5rA,jp1
GRANDMASTER,I,fWtvyDeFnbT0_WRbRZfmsyXCSedtpXOpREOFvNz-k15n1RY,千葉科学大学電競,293,30,9,False,False,True,False,JCVy6qCiGSBi8ukqTUUI05D93M0h-74D-WdErqa1KyhlVkqBmfBvqNqK9q3F2O3T7VpL4S6gAsfWBg,jp1
MASTER,I,7tLPhY5p_SdO1B9zyb8lVNIqSi-7rr-_0GTMSM3o8vX3TQ,心臓を捧げよ,15,17,11,False,False,True,False,YbTT_GPvUDRz_OKQFqpRJCqaktuJXeeaOk29TcnklkIf0LAIjuxiIGgKfDt3BqH0esaOEFN7AA5A2g,jp1
MASTER,I,x6CMMz1nAUuQoRkEaRfLKsxbTTHPSI9hsN78RE_MFraZR5k,畔美岬,197,47,38,False,False,True,False,S_Zos-7GSl1Yf_4s57SrXeVA8zsvHMRbJyaebcIb1lD5m68KoPKuE444DkIbOne5Y3wBDNponYw5JA,jp1
MASTER,I,_EKdb3W1hB_IGKVpPErQiOSMWb8m7PFffkMD272EeaZ8_0DRxcYRH8VPEg,半島鐵盒i,81,27,21,False,False,True,True,u3rYONkMNk_xcUVTZAVEJI7pSGH3O7OvgM6Jph9cNMY2SNbnoL0RNDYIJEwu0QONU-COqJ_8RLjaRw,jp1
MASTER,I,2Rc-l0Kg8nHwj8zLzf64q_4BSevmgysgIIbsjdqzbJcAz_4rdAolcwl9Vw,ルンジ,55,55,53,False,False,True,False,HUEUa5pIE9dF8AJtTzglrtQAKlLITgk3_iTJR4KZtd1naiogq-F1TFUCCQMlwo3oQvIgvN3XI9FksA,jp1
