tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid,region
CHALLENGER,I,9L9WqymIwr_daS5hpPWXh_VYEq4Cq8vRHrsD_FnBehlQhws,bababaabam,519,94,74,False,False,True,True,vabpWsNvDBvKOi1faLr_GoA_T2-ddfIqWaSsInIy5nUT-0UuGPxd4wZCC5ilY3C84rrbzXpTiYmRgA,kr
CHALLENGER,I,L0ZX6-MGom8R_VsyOkZAU93uZnDRlhV6qAVS6RYEOBbccls,FA ady,553,96,83,False,False,True,True,XRe7uo4mkoigiS2PxjZd6NaZUZSuKrQdIP4jm5KJqWX1rAWhbaek-LZGPzWK1pZ4BdKI54Pm-uw3Ww,kr
CHALLENGER,I,5zCJqzIYpH3vSksB---Qsg1eOJiLQSpVajJmvMSZ1l3i65Q,디케이 탑,694,75,50,False,False,True,True,s9-BvXnjzr-ccFIEBgjQ7m2HnbgjWOBbtoIOhhBbFKoyfYlEbrqVB0yYMkp2H0Yb5e0lDZUjhdlqBw,kr
CHALLENGER,I,2upmAZbE8jGpTPZR9hVFhTbD4-ev-hBjJgomf8A-lP0Tm3hxUYiybpqnjw,Hao tian Jug,575,97,62,False,False,True,False,uwe2T_lJDQuIxlNtdQN5Cbldnmf2gi7sv3ecUn6DJrAdCiIqqXmr44royz1XXCqRGuNFNXm8QYC40g,kr
CHALLENGER,I,PHHX9c0WxW8ZLM26agzbL-rIL7fUiKKKGzPRvRoc2xXnvsvyZhhR2s94TA,aowamzosq,594,93,71,False,False,True,False,yv5dREZMmnHj7XgHA8RYL4aSYKG6Y66RGD-PB97aLILTWK_V_xkEIX8CvY02zE8B5UdJdzYUilXjfA,kr
CHALLENGER,I,io3_b2UYseoNnRNojs44Zu4VtzA6g7cYSIw-PyrevAcp4AyOZzcp6hWckA,ADC0315,630,80,53,False,False,True,False,uzPojW2Sc6HRokIV97H5S95YX25vVP7twBHVVK6fBifqgCXNr3rpFjIOF0sKfh9OZKmzsJglDqkD_g,kr
CHALLENGER,I,Fc84OvpXLztWznJ0q6a22T8iI7HQ1yNbPF8Hw4ce0_5pbi0,타 잔,860,69,43,False,False,True,False,06_baZj_xMpynJeWUoCjkhi2w2KWpFIVM0goYj1Oa2gBCHxwH72YwlrM2QmRsWZgphw-Gh0uWTw0vg,kr
GRANDMASTER,I,eW152GFp1XijUjwdvqnfrZhjfQArogtV1B_HFKXfYKrta48,일겜10연승한사람,259,80,49,False,False,True,False,4xXNC0u57t11eAWc6T1RabPH03UbtsOjYJIBprVtmSLsGgJSRcWayqMGXdjxxqE4blC_e6djx_NhyA,kr
GRANDMASTER,I,YlecLwdSka2dMWlOyZ82dTlOQ6_edACRxXCZtINepFgvKVtjxB0qivBByQ,TimeArt,164,67,49,False,False,True,False,meecYgQGztqWHJSmOrx-LA4YiXorknElr-zdkcWWCRvSdrLVe1an7P7U1QSsSQ3kY0rYTp2UPudMEA,kr
GRANDMASTER,I,6AL6_SZILPO-wzgEr8H_UsI19Bxla8cq3hef67pWegiR3A,EKKO98,129,57,44,False,False,True,False,M20PSt6F46JTF1XTI0huBF1Id5gbaKgG8kvt6iWPtt_pAibNK9wJgsNamvZHIWIgzc9sgRZzTMz4OA,kr
