tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid,region
CHALLENGER,I,C0mFuKAojZR9tJYGHDyUV9cZFgrllJsleZ4Q6Qqpxd0LLnD7S6D_LDgJ7w,Yasıkof,637,56,33,False,False,True,False,K_nJetTtehvna8qOffqLSbNTaAd4BIfRuYsaljX9ChL3l7mhS8baeQD0BBs_NWHSLNW3l4j0--t2Bw,la1
CHALLENGER,I,lUeT0ZFXt1DAIB7iiQXS6hnYG5Y0GeHvHbGbwOeJhlYdig,STEPZ,798,66,41,False,False,True,False,QHk4Z28Yo5x4QLL2MM5cSGFxVJsdemVpiQk-kaX_YVm_Zi79WMLMd1tincLkQ6G8v0NU_sDgM-FEsg,la1
CHALLENGER,I,-TsKHtu45Uj3UJ-dpNT8uk07_vjvj9qpg1HANe2wAAqT2YA,Charolon,518,61,46,False,False,True,False,V2emM1A5taPRD8pzz9Z-y0OHBH814PgPNCugOoGQPgxvWY_HyDJ52Rhs87ai8aCuAkvF_ha0XVxe5Q,la1
CHALLENGER,I,PUSDNtAwwkyQSVPsCUjcd0SYGNyv86NS56NqI4aKVhFW3GdEdgLRT_j59Q,Meguıtan,814,70,48,False,False,True,False,4ZdPTwIgvhxSe88D1lghDJuztjVvss54wVnSmiZab50nUkQp-l3wNTThKZw2SFpclrNheHI79UNyxQ,la1
CHALLENGER,I,qMhyXATj16Za2ntnxscFWhUbcBrx_-_PaDeqWm4W9kRZjA,Hąwk,521,44,24,False,False,True,False,GDWN4Q_vOqvjUThl0KDRqhMF6XVBs-e7dJ7vFwvnRC9nyQ1wZFSG_OATPVoeZCZfH81a7Dj9ubCNTg,la1
CHALLENGER,I,Q-z_E75fFeKZuvu8axnlVnyJZilqsi_4ypWN59iXf0SO7Sc,Wirko,503,59,43,False,False,True,False,V_ckb3uaz_vnwTrMphK_cvMuUF4NUcPe7WlduP5DJIx6rmE_5-Bc8J2w21EGEBDrJoFXjNcTyoKqMw,la1
CHALLENGER,I,zu88HysVbVA4z9ijoyo-BfOmCYC6fYggh8K6dwXBQo8,BASTIAN DIFF,506,55,35,False,False,True,False,-Vfhs1mI5PEm5yrhamCjFetAoUaycDf5JUwVcdWd757mYaiWS2PmQJhEHXip974sD2FzL-96T3oz9w,la1
CHALLENGER,I,7PRVFWK9uDxC91WV06bA2fzo9BezB9LhhlIHxY1QmPGKJFg,egırls scare me,651,78,54,False,False,True,True,Aqn03IYoMHvL_095EJJR4zy6sPgllxVk17oSgPC8A4rtiM3v5NUnelh5jHMQtc58YxDqFoi57fasPw,la1
CHALLENGER,I,YW8qsfwR4Df2s1avAKn3YfKNFkTq-o4fYkKdEAAj9npV-A,Va Por Ti Lysol,520,57,34,False,False,True,False,fdtvYc7pyBOt2J9ycBV5wK64hnA2cdwKpS0ahXszId66KISVmQ6yncKXdan_QehsmFTvHiUbzxOLkg,la1
GRANDMASTER,I,Oddhy9cIM8A_ISzvqYnQHlhtD5l8lwpmsc22L8FUcYPrmycCaP4Zbq96xw,TTV zDevost,317,32,13,False,False,True,False,Sw0VaTxunNiGiEqw1jJ-Q0AEBWkjH8MGcojaFg-V3ly66a9R5m8toKDZG53SEa_43k7r-vQH3GUaTw,la1
GRANDMASTER,I,qor9FP4l0ayI0d1wL5TPKMUXMUM0Ckrr4ta5_1WDO9ok,EL Uber,440,44,27,False,False,True,False,70sDPjO4frRC2UVhCBNaJtfLSH4yOuxh1tudG5YzodiK1xNnGVqOynWXb6fzS-kaL_EZeBdmzeWqzA,la1
GRANDMASTER,I,e2qDYkMYvJaBQTnHyNe49igZ5IfiGfGCwOWEVYiqXC0,trunks1,246,36,19,False,False,True,False,5DJVTMuvazbRvOJrGHcSQyF1J7FPRQ7Qm1xxSBfzWHLOWshBanSczL5m8LQzwgxvZSkxUEdFoPAFSQ,la1
GRANDMASTER,I,R6hv6LT3D4Cw39DvGlKrAmjdcb9pgAOKu14FgxUDnGHAjWY,AP King,482,66,51,False,False,True,False,9c-IVyfAKcc3nTztMF17HECchp_vSYGY0xye0u6suEQm_v_pIaBs3hhgIVBKswHarxDGZUk8LXzjtA,la1
GRANDMASTER,I,Muq3irC61_HOCiRFiw4FrcuhqYDzPX_wuPMX0FGr80jerA,RGM Kírilov,290,37,20,False,False,True,False,Mv1TStZfpGbGYDaEL2sNj_RTE6lLVDdsjGdoFGs6HC-impIBvbPqvse0kQ-y5s2FTD9TjqaWC8jOSQ,la1
GRANDMASTER,I,XAJ2YvLNsReF36K7GzPu-rj3LRyrVo7Z3RcAKTYgqfNnfg,DedCrow,238,29,12,False,False,True,True,sDXWE9X5j-qcbN-VL6X8QDqgLd7rMlT4a-43psBYYnD80vckRtLd4F0JE1yF9OnNcLWHm7Czpmw-xQ,la1
GRANDMASTER,I,mczz4-yK3s3TiJhkot_MiTfxoyKrMVLtA3THM5weIAP7Ye-Bt0tF9fBiIA,IMegaman,252,55,29,False,False,True,False,QVo3JnmfpY0Y7sGvggWQYG8ntHLxp4whaIXsIpfeGLF3y8i_KALDszumm2wJSGLqRBRCbB9samuYTg,la1
GRANDMASTER,I,bsY62U4xwC_ulT74sqi_7mw1OOPx3WPclu0aY0AzMjK4MY4,GatitaCaliente69,441,42,24,False,False,True,False,OKeCqAjY__G-sifwoRugrVB1xnRbRlaRAV5H2Qx6VqodWdq_MHUUSDhsr7G42hL74SDtJI2D7dtknQ,la1
GRANDMASTER,I,IDFKH1qcPpKiaeQgizrzsgF0jAg2Fhaits4fXDcqojC_1MZFiwW_orZKcA,Blackengel,249,60,39,False,False,True,False,KDFw1d_iGuFCEIgpDXc2U4b0YZKpx9cD_X8p_6qHWTys6jD4FI4O1U0akWtGsKDAK_5vAtPzIJnKZQ,la1
GRANDMASTER,I,rHfAGRddnDsxC5yuo1fEfeflvudsE9jr-dTzBOfQZqPWL70,LL Dilana  7u7,200,36,22,False,False,True,True,FUgisQChbwvJags9TbkD17Z8dicIzmAgUitB48NpX7Z4cJ-QoJJaI6s_hXxnW4WdMRk1jTcgz-t7WQ,la1
GRANDMASTER,I,dG7-sVlpNKnQ1KgmEvvaY6f4JNesRpHGzb99BIcJXhdb7XQ,FlamingTunderGod,259,47,28,False,False,True,False,KcajFsBravAOZWZ29RaOyfrGuQSh4ykQ6bP9AN6htYJ6jYZWCukEk_SVQEl6oR2Sn-0fEnapnO211w,la1
GRANDMASTER,I,UE2Mj9DzdVRe7uPir0jsmEmDABNAxMqixmiUjju3l61KFws,Pyke gap,205,76,70,False,False,True,False,zxSiCVdiFmxaP6P7yma68vBjxWCnQH1s9HMTRFyy8mX95IYJEi5gDHw1xBYJ0U9ZhR8pvi5w4ZQ4Jg,la1
GRANDMASTER,I,wcakng1t9WFh8c1kxXIagbIcnKdJPvUp3YeOvZGFoQe2otHhZMxWZJdwTw,CookiePatreonGap,216,50,34,False,False,True,False,hzFoia81I6be9STP_KZpEdWaZDU7cYnRD1EoKxaIKIK1J7ZVg7qsjMTO_QLVk9ST8GXEuUbpzD_OaQ,la1
GRANDMASTER,I,5NAeB8N2J0oKmz7TgjCjnnPl_4uj3rIMQjXHWGTwX6BnTw,B Narcissist,216,36,17,False,False,True,False,4q1b_ow3zWPgVy3KOB_q0G1EcXmJreh_YW4yjkAF3e20H9UOAY1MIzOej_MpOl0r2hOAgobPODLH-Q,la1
GRANDMASTER,I,kPl97pMfqKH95kp9HcqWot3-S1MBBGuynQJSvLybbDkh3A,Daante dmc,330,36,17,False,False,True,False,8IXeqaQcfgEUaZ_zKnrt98-eIN85qAJBRJTdseXDxH4zQqgI2oF1wcUdnTlyXGBNrrHsbFaZd4f-YQ,la1
GRANDMASTER,I,tWg_UWiuZpyQfmLjiJHgI8X2JuP2x2cL3yBQ0rC93iDq,BelIingham,209,66,55,False,False,True,False,yZWBioW6b7yWRNUZWwKnEilHRmPuOxoeyZGEnfowK0zSBjB8otzD0gwESFZ59DZirQ6TE3ujmrTbrA,la1
GRANDMASTER,I,qhcP2WU0_ITMi5k1zlRf1n_ABL41DMvv4bnSKlVCu-V4,Sparkaholic,202,38,34,False,False,True,False,flkBR2HnWVyF9Ap7v7y1tfvFrHxl4NrxoKUXuvDJK8vsOdpKokKnRpqIsx0XvJ01uGpGOuXw8V-W1A,la1
GRANDMASTER,I,V5Jp5ERyazOqaQkQWMSWNe7mYLfkU-tXXT3xL9IatRyc,TCN Rázel,204,35,22,False,False,True,False,UHfb2_g_abhepns5FJA12tjVMemIZssVROuirI6Fg3wd5zuhQqPRv41ad4WvxVCt2y5d-ummt38G_A,la1
GRANDMASTER,I,WLOw2_HnZroKxLqRuKVBAabb7iVqfy_FAUwvbf5FimrFeg,KSP,289,72,60,False,False,True,False,iwgfiBCo7QcM9jyO7NhcxvvyukmycDZdvsw324tfoHXYaIdD4BIDtJQZvTXBtHMZBlizqeHqzUY02w,la1
GRANDMASTER,I,q9kITrhD0JS2ITYP0rDUoR5t6L_K2zP096Oh_bTqQwxiyg,I Love BTS,330,67,46,False,False,True,True,Sr3OmkGg7RwgsRjf0OHreBYqCA0GYxzymvQ-s5mk9hUsm1x4206eoF8CxmCi1FHH5VX6qJLrs__6Eg,la1
GRANDMASTER,I,XSC8P_eQvjr0n7IotEDwq-TrBJiGibuAtX2fkSSBVnGt,Pandeyüca,464,63,52,False,False,True,False,6CrEEQz_kYPE0BXu362DILtFBiwncOQDozdJ6--QT3R0FlT3qkNpV5bV7wRB-cnTXKPpVPYiozvkHg,la1
GRANDMASTER,I,daIEe21YcGhVM6SOc2I3s0A7O4miFKkBn65OG4ngdE84r3vwGxWSGVy29A,Trash,458,65,48,False,False,True,True,flvGGp8zdZi8zvCxnkeMSx5c2G8kEM629T-LR8r2xlH8dr_PBT3CntIDXq0gOpAZSBYooQFhRtOKig,la1
GRANDMASTER,I,Je2NUTNASO4Cw_IQiqJcyJaw_Z87VhNrQRHW1yDyA_Tu8g,Mulberry Street,206,45,27,False,False,True,True,OHZqEmGiK8BdQUpM_cx183ZvIQFjeNoHtNxXSnwnqqiHhCKYQFHdj0VXWErtw4i8aEcMR7zrn6oLOA,la1
GRANDMASTER,I,dpFf-c7epFZ-yJJbSOOZumDOIp5FRfi0YFqIgK5R-GmeXYXCiQZieBCRVQ,Slinc,203,42,34,False,False,True,True,MkTVRp4vRMqC4RY2EJtvXaBRn0AfMRVsIHH3nFJFzSz9PsqeJsdW7JVmgH9eA3ZbPJFP7-pjmrhAHA,la1
GRANDMASTER,I,PYaV2_c_rtYShSIRx4wfDzSSPi47wuUPv9XxWggB9rgfoQ8,17 January,307,44,25,False,False,True,False,2cUG3xddS4YC7jDCWpD1wI5pgqD8zebfoN5zCxGgjA7PCt6-I4YeGm9D30F3pbJ25eYyYGWyr4uJCA,la1
