tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid,region
CHALLENGER,I,mhLLqroOptAU2ZU67hzBcJWOgp8_UCiXwl7-s7fjAElD1WZe,WanBieJi,501,71,41,False,False,True,True,3ll1PPV0dJo5SPE6A7d2ugsLrLnTh5eRJRW_1Ymx-EDoBeb3mb18nvcrNkjol2xpkrorOs1a_DSScg,na1
CHALLENGER,I,QHRI5njQodt5aesgDHQl4R_kIfI1VeQtMdNnBCRsdhA_kpg,Spica9,506,53,34,False,False,True,False,r524bPm8r4aCEMDAaWEAC1Y4v1VF54NIR1_q0cJJVigKBs58lmHdMFu9-4G9nem7dhlwTnSvN7AMUQ,na1
CHALLENGER,I,KPdFHgBkSBJ7XbzunN24XporbIKWt4dJYEFBiQGNnoQgxiU,YouAllSuck,661,70,36,False,False,True,False,8hGybXqbiICB7DwwmwCFqV9Vqi4GEm8ETCl8Apafusj7bhR7ENQTA_vtOnA_nG2VOsKsBINKc5N_Xw,na1
CHALLENGER,I,ewCfTMmgdXdwlBx4kl2KTVf-O-pAsVNA338m_kY2shXk9S4,Cupic,689,53,24,False,False,True,False,0WdCaVu093PtF7eoR14VfxZOwTudlwYE-a23eWuZ_BzT1QyqTitj3XYs8dxEv9_qM-RIkLFPICIsAA,na1
CHALLENGER,I,agKQE14_19PZ1T-JvEKw0nhCJ22wLleweql3UKu194SBMd47HABDqVjbRA,Jiang duo bao,639,58,35,False,False,True,True,KoeqUmvyi8Whv42XjASj-WZ2qaodjih5GLU1oQMs79IPX5gPANZyJ8GqvuSVIpRSUOZumko7Whdfwg,na1
GRANDMASTER,I,c6U1-nZC_q4uCVr4jcuXtiRkYICnrgxUb5xIQE_8vrbPu34,ThëBeesKnees,224,80,65,False,False,True,False,ad1gJy-2skx898bgItbIhCdVSCxeo39H4IEZv5PPinn0f7gXveDXtHNezPRWk5xh1CgfN2WdEYXlkA,na1
GRANDMASTER,I,7FvKFlhR911w76wEywCvZIgZrok1F4ael4llVONf-bBgeNU,DIg Striker,213,40,27,False,False,True,False,giuSphBHx5jwMqNh9fF8BZ1HTznSpfF16NuYSMrQJTsaAls1CsU6Hn_E7HT3WCSIYutuC-WzLSnvXw,na1
GRANDMASTER,I,mcphJMeu-JwGJSzpGUQQJwBSTcvOlZK9Q0PNOdZPK-8ipJ8,TheEliteJohn,221,57,42,False,False,True,True,KZw5wX_QNurNJGWZNGcFC2LhH1P6VYZQ0Dva793HfhxQ6xoRdKuXHzHv2shci_kbZ415go9bjndrzw,na1
GRANDMASTER,I,95KnA2dQbynFLPvVelKplnsaChUm_fc_f5vruj0QVGFZH5A,no invade pls,276,60,42,False,False,True,False,5iZS4OqARoq7sPPyb9QkkYyZyQ70TYX4E_N0kIlcVwYZlmYtFPYXvlTy5HAvj6zHNGgtD1sFaFp9ZQ,na1
GRANDMASTER,I,Lbhs4OJtSifavRjLErVFQJaxKFo1pkvBSw0YcBw18-j1D_w,DrìpDrop,202,35,19,False,False,True,True,lcQe_AQnpu_27TuN44AtS4_f-ggf4Fw_z13UzDp1SW4OEJfmshgX82mjXVbTEXBFjx-qNG-3niC4ng,na1
