tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid,region
CHALLENGER,I,GgdQXo6iqIdvJxoiEw20Q9UGwqTfDdTU-5ndgVY-Ucmc,zorenous,597,63,33,False,False,True,False,gxXI7isGNwI6Xc_lAxxJCuJX78jC4TJmd28cGY-bZaNN3mWnRMPeKaP-5hjsELIAw5VXv28zq-1G_Q,oc1
CHALLENGER,I,hjeLp9SxqiZAsVKQMbvMhCCPgVl7hUPC7x7xzRqCJNLctvg,Ming,748,58,28,False,False,True,False,DGxLBcHx7KtSdlbb2rDvQ9n0Wuov35ZKZ9p2xWwaIwPUpHum1enynZ8Itz1IhORokf4aeWii878MZQ,oc1
GRANDMASTER,I,bdNABHZntfK-IbBelJtSrXokU0YUs2QVxhv4eWoGhpDn,nox 1,401,49,35,False,False,True,False,AeGl31z9H29RTHtUv8VQ5pdrSZyI8urObetBv7ovUfBcSu0gCIOifyzgHwhOrbZObfHxwosTX-2jwQ,oc1
GRANDMASTER,I,m6_Y45P7FV_yZTZjfrWXpqprpQOdj6WS1GSH6Ri4ZPlils7TEL12zUN5Yw,Quofuka,217,84,49,False,False,True,False,g67itFUDx-LiRRGBwUKpxTY7AnW9LJeusf8ZxnTTjMwDrg9BwZzHAnPg_YqtVqc-Dq1YpIPwG3Mz1Q,oc1
GRANDMASTER,I,THuhQCD7ff9PrbKuLyBtqL-U1NAcN-jXpgHHvf2V019scETq_q1viPVdQw,Messes,276,52,39,False,False,True,False,a5WVVqSy74Zv3XDjVTyuVx80l4bbmxClJatCMxXIPj4M2ZT2vMuEBMTPw993ypeyM3wplMzE0KPfSg,oc1
GRANDMASTER,I,7Ixco616mafHQrpof0kRVbD11yVsRZQRgiSacT_u65h4Suo,1MightyBullDodg3,384,78,58,False,False,True,False,p-YDIrEZ9nSAkNT3Ipm1OEz6PsEo3KCZmUcGh3XKEY08rtB6-BsZiY9doEAA_c1FI90Z5fHLQXHZwA,oc1
GRANDMASTER,I,uSsXXBK0EeO0JQyWsC4gIqABca2HfqPy50kH1oMgfU41,CHF ABG,209,46,39,False,False,True,False,h9yaRM6xK6koOlxMuxCOEWW_9mV7GsMxZwcLQVjcuqU-la8_lAthKnhkeLBROlOVkY_-k9dXhaea4w,oc1
GRANDMASTER,I,PM0r7UIm4FtEo5HVEOigYA3CK3hGX2QPwySPdEl3TrETtA,gfdnoqgdnwoign,318,55,39,False,False,True,False,Ze5OhgiJcY9f5gy-G4-wWo2fyhnIgbPPg8FUAQcJhmV0QATf3gxn2gqqcrCopee9fZYws4i4jEqgJw,oc1
GRANDMASTER,I,e-jEFf5CNWhZt6akjb0vz0J971JO4vA6NSXv-SqeLHP_,JuJo,236,42,39,False,False,True,False,QgBeYghVtnGAYN5W5NVxEha-pklozqvsEyYTxKk8EMRpsbvPXaNd3NAaYU4qxqFB3HnYFL_Yc_9tzg,oc1
GRANDMASTER,I,pfGPUVAM7uDSvqAVNczmacuv1ir1WZ-emQThPGWABLjnLQ,love engage,278,48,40,False,False,True,True,pefDS89o7415vUGdDtSdDP4zMW1g0uWVeEnX9OIfSIcMgeD21h33CLi5gb8ctDpXgSSgTRwPWCKM3w,oc1
GRANDMASTER,I,n0XD2-sr7mTHVZly5V-CurhR4DPvnWo7z4g69JxTuII7,Aquilin,267,66,51,False,False,True,False,hzYbKrMZ8Gw12ETaTy99yMu6dWxbcSHPkQ9A3OrAevgfvIDlwZ2K6o-xH06kl8TLrwRv2gQEIB1eLw,oc1
GRANDMASTER,I,o-2JS9kEPQP5Gi0Xebxp7kYAxD5rALTSNsqSQ9884tUr,wx 1065620772,241,36,20,False,False,True,True,PmXbvpQvkEHQR-g7-T1Sdh2OEycNsBN67h67RRLeTw9EztBqZY70CEFllf536xmTqLXDZV7KCrjzvA,oc1
GRANDMASTER,I,USgGAqMbDNhoWieBLNUNYBHR7O8QgQBtrssNR8d9lE_Lly-3ivt_6hQ2Fg,An encounter,214,45,28,False,False,True,False,QvewK9RWvhGfGmKn99fHIkfKrSg4vOavWiI0rhMwV8RVn4-BmDRPp6nRwTqC4aZc0tsHCYdXUELQhQ,oc1
GRANDMASTER,I,aPyG7-y2FFSadiyAI8DL7h6jI5xgBFBzJ9SnKs5DM0_POw,II SENPAI II,191,92,90,False,False,True,False,tRCFfJwa2c_GLWw8UC35QO4d79nU_eu0f09JAmMwa6bARSLKgXgcMyldAgSLzUieD-s9kb9VzRbA7w,oc1
GRANDMASTER,I,ye8FTJpla7sJqp4eDnXJPWgyye7424uasBqXS7ZDh0Zzng,Bado,239,48,30,False,False,True,False,54wcW2gGOKa7StDGa8OxzEI3KrImJab73-g_mxzHAU3hLONP2LYMpLei36Fr6eCa0mX2nOrxCdmkdg,oc1
GRANDMASTER,I,ubVPSSVMRpnh8lj9GFK730M2HcnXEsq5LME_flPx5ZGfzQ,kos omak,289,39,21,False,False,True,False,o6HoTWS4gNRSpWM-vtEElohPZ1hUVCOM6W5tFg1PEVLvW1N6dcNtgN_BChFVJ0brYJZ9RhqFRDcr0w,oc1
GRANDMASTER,I,ameVPc6Owm010-I_tKnDin5nmlHN1rz7XAMmJBNjJ6lTmppmD2fVUalUTw,Rev1,150,57,47,False,False,True,False,Ep2s7OMKK6C2TNjyFz_NjxHCRgLNxvKcG9hEkCG31h0ti6MEsmS_k2IN464PPnR8s4D1CRopcGHeEw,oc1
