tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid,region
CHALLENGER,I,obauNAFDKq0a5rz6zNZmjyoH0QLpEb7MUqm91K1EuclxNDdRON0CqrS2tw,,510,41,17,False,False,True,False,t16S8FFVt5U9v3Ib-DPM9-jgVoIr2konhIVInQBQoQPdjovtmxSQA1ePY-oP6iQmxvx6G351gZuMng,tr1
CHALLENGER,I,gpGe7SOxMzcXmjYVRpIwFRzMAush2yFyESiBL8w_MgchiQZFY-hLzSlFLg,dalgasın Æ,549,62,26,False,False,True,True,VJ601Qe6v3VuTiQ_32DBe5s839qrt_PNcgFfqyti0JPpAH9NSm082qQThM2NNC-a6DbLdWLr405vEA,tr1
CHALLENGER,I,-Xndvo6uSkJ6LQpT-nuKRRbLa0YuD-SBZFU64J4uvaZsosZdVQ9q6kIKMQ,Remember Me DW,748,86,56,False,False,True,False,xn-Rp-FaKB0-N4Qy2p59VMzXyW5Q29NESOb8ztbWC1UrNyA_uLhFcSKB_wvmiL0nvrdX_jn1dB_hIQ,tr1
CHALLENGER,I,_AgSUZxn5Sk0YAtdKLN5WhlLlAvrsuzaOwDohFyPHKF8sKbNg76RXZ02Cw,Xampiaro,509,58,30,False,False,True,True,mHvfZptlLAmsMRXAOJUuAdbllVYyhjVxsoeqr3UafkaOj3yY8D8OLVNTyHgrNru0j-pWWZ_b5BbalA,tr1
CHALLENGER,I,n2P3pnVx4wMQbbyDMg9STRf46F8T6pLtRsxJ__Cueik1ZNKbvKKm5UJ7Fw,CrawL4fun,703,59,27,False,False,True,False,eJyD_fjZb3lncRTD4s_VCtgZ9Yn2qdvWgU9w4xmyBaOooYgjkA5cGFoZnkzDGUzYd-xJoEn4mY1lqA,tr1
CHALLENGER,I,TRzvVIMpcym56hS09fm4X3J0XuSCLh9djAhmXWKZ6n6pbQ,GARNET Blade,518,55,40,False,False,True,False,lprVCr2uWJtoAWivMsW8cK_gNnhUrzyAw1nRFh9vG-weGI3qQ68bWP6eYmwvWQgyWXex4ttJb8MaIg,tr1
GRANDMASTER,I,2eIA6s607bCJ8zTIgrKu3hsVy0OLlFYlcHyNfuMpCCKQDpTpsu_vBT2hNw,feelings lie,200,30,14,False,False,True,False,Zv_355__ULXT_9qLKTw8axa6xkO5RvnInqglYnLub3pzfcvc0SxWK3Vet6jQ1klWYTLcFnVMeMrIyg,tr1
GRANDMASTER,I,e7N0OPzorJEWNH3nKOA99sP0_peFKSWOkBMtOta9n9vtnaMwme3TOgCHeQ,Eunectısss,291,48,36,False,False,True,False,pwol2AIWdJRqsriZcXXVvRykLQpHpY1mYS-G2tuzAHza2NqM38LFAOJwcxEbeDo1sr0q4_6lo9aQBw,tr1
GRANDMASTER,I,1x6CtOfRiXK8DPmx65e0pSZv4_0S5WLMhmHtQ5-qwBOEZmM,7 words,279,59,48,False,False,True,False,NPZsgYjS25jjC0zrcNNZSeoL-PiUzIek-M5-nwCWH557CfI0LXA8OwawMhKRWf9f4SBcQ3FAikguOQ,tr1
GRANDMASTER,I,3PJ5UqG5jQNeQKD6maIepL-UOjqIYXTl2V8HmrK6XRnhnGk,the presets,259,48,32,False,False,True,False,ab8zbPi-r3umLJKuFGXHO2x-39GKCITgY95i0comKX3TXBI06kt4mKOPzZ5d0S0RHO4lUXFwnGibjA,tr1
GRANDMASTER,I,2z5tm1kO8c_Z52vT_DQOwBRBD7lURGPZa3qkePQMhEvQDXQ,Petrichor,409,46,22,False,False,True,False,kObYKXmWJXR8b9TrJPgcMJuRNPdznvzaEG7A9XyIXoz9HNi92hxVVIRnLoZdfwePNJ37GPScjWL6mA,tr1
GRANDMASTER,I,tR3n1jqVWtWbrBb842CyfheqzqikgXl7VuE0TtJClpMW07s,BadTheBone,276,69,40,False,False,True,False,jWGWOrLcyQLdwfv2FsuvQtiUS_jH-rlKXpNFfTiO9WLojK2JBp8xlGsPTl1ObApgf-FXfQsrJkNCQg,tr1
